zip_code,city,state,market_health_index
1001,Agawam,MA,2.181859376
1002,Amherst,MA,6.475341742
1005,Town of Barre,MA,0.616267654
1007,Town of Belchertown,MA,6.320519598
1008,Blandford,MA,2.141832188
1010,Brimfield,MA,2.111622989
1011,Chester,MA,4.106185333
1013,Chicopee,MA,2.191677366
1020,Chicopee,MA,3.01865418
1022,Chicopee,MA,0.46144551
1026,Cummington,MA,2.544369761
1027,Easthampton,MA,7.572690884
1028,East Longmeadow,MA,4.979231176
1030,Agawam,MA,5.33796541
1033,Town of Granby,MA,7.124084284
1034,Granville,MA,2.999018201
1035,Hadley,MA,6.382448456
1036,Hampden,MA,6.242730912
1038,Town of Hatfield,MA,8.776527453
1040,Holyoke,MA,2.954459633
1050,Huntington,MA,5.694433955
1053,Northampton,MA,6.229136772
1054,Leverett,MA,7.006268409
1056,Ludlow,MA,5.964051054
1057,Monson,MA,4.324446794
1060,Northampton,MA,8.062079903
1062,Northampton,MA,7.163356242
1068,Oakham,MA,4.480779397
1069,Town of Palmer,MA,3.876595423
1071,Russell,MA,4.306321275
1072,Shutesbury,MA,2.387281927
1073,Southampton,MA,5.641567857
1075,South Hadley,MA,7.588550714
1077,Southwick,MA,3.344158296
1080,Three Rivers,MA,2.904614455
1081,Wales,MA,5.942904614
1082,Town of Ware,MA,4.700551318
1083,Town of Warren,MA,3.430254512
1085,Westfield,MA,2.982403142
1089,West Springfield,MA,4.147722982
1095,Town of Wilbraham,MA,2.363869798
1096,Williamsburg,MA,6.347707877
1098,Worthington,MA,4.161317121
1104,Springfield,MA,2.579865569
1105,Springfield,MA,0.262064799
1106,Longmeadow,MA,1.259723586
1107,Springfield,MA,0.991616947
1108,Springfield,MA,1.464390907
1109,Springfield,MA,2.375198248
1118,Springfield,MA,2.063288271
1119,Springfield,MA,0.420663092
1128,Springfield,MA,3.449135262
1129,Springfield,MA,0.743146288
1151,Springfield,MA,0.334566876
1201,Pittsfield,MA,1.342798882
1220,Town of Adams,MA,1.372252851
1223,Becket,MA,1.254436976
1225,Cheshire,MA,2.128993278
1226,Dalton,MA,2.09198701
1235,Hinsdale,MA,2.240012084
1237,Lanesboro,MA,4.273091156
1238,Town of Lee,MA,1.86315233
1240,Town of Lenox,MA,2.514160562
1245,Monterey,MA,7.935956499
1247,North Adams,MA,2.024016313
1253,Otis,MA,8.020542255
1254,Richmond,MA,5.363643229
1255,Sandisfield,MA,1.87070463
1257,Sheffield,MA,7.176195151
1262,Stockbridge,MA,3.418170833
1266,West Stockbridge,MA,3.687787931
1267,Town of Williamstown,MA,6.04259497
1270,Windsor,MA,6.713994411
1301,Town of Greenfield,MA,1.832943131
1330,Ashfield,MA,4.606902802
1331,Town of Athol,MA,1.86466279
1337,Bernardston,MA,1.811796692
