zip_code,lat,lon,state
705,18.14,-66.26,PR
610,18.28,-67.14,PR
612,18.45,-66.73,PR
601,18.16,-66.72,PR
602,18.38,-67.18,PR
603,18.43,-67.15,PR
703,18.25,-66.1,PR
704,17.96,-66.22,PR
7675,40.98,-74.03,NJ
7677,41.02,-74.05,NJ
7885,40.89,-74.58,NJ
7981,40.82,-74.41,NJ
7999,40.82,-74.41,NJ
8889,40.6,-74.76,NJ
7095,40.55,-74.28,NJ
7481,40.99,-74.16,NJ
10451,40.84,-73.87,NY
10452,40.84,-73.87,NY
10453,40.84,-73.87,NY
10454,40.84,-73.87,NY
10455,40.84,-73.87,NY
10456,40.84,-73.87,NY
10457,40.84,-73.87,NY
10458,40.84,-73.87,NY
10459,40.84,-73.87,NY
10460,40.84,-73.87,NY
10461,40.84,-73.87,NY
10462,40.84,-73.87,NY
10463,40.84,-73.87,NY
10464,40.84,-73.87,NY
10465,40.84,-73.87,NY
10466,40.84,-73.87,NY
10467,40.84,-73.87,NY
10468,40.84,-73.87,NY
10469,40.84,-73.87,NY
10470,40.84,-73.87,NY
10471,40.84,-73.87,NY
10472,40.84,-73.87,NY
10473,40.84,-73.87,NY
10474,40.84,-73.87,NY
10475,40.84,-73.87,NY
10001,40.71,-73.99,NY
10002,40.71,-73.99,NY
10003,40.71,-73.99,NY
10004,40.71,-73.99,NY
10005,40.71,-73.99,NY
10006,40.71,-73.99,NY
10007,40.71,-73.99,NY
10009,40.71,-73.99,NY
10010,40.71,-73.99,NY
10011,40.71,-73.99,NY
10012,40.71,-73.99,NY
10013,40.71,-73.99,NY
10014,40.71,-73.99,NY
10016,40.71,-73.99,NY
10017,40.71,-73.99,NY
10018,40.71,-73.99,NY
10019,40.71,-73.99,NY
10020,40.71,-73.99,NY
10021,40.77,-73.95,NY
10022,40.71,-73.99,NY
10023,40.71,-73.99,NY
10024,40.71,-73.99,NY
10025,40.71,-73.99,NY
10026,40.71,-73.99,NY
10027,40.71,-73.99,NY
10028,40.71,-73.99,NY
10029,40.71,-73.99,NY
10030,40.71,-73.99,NY
10031,40.71,-73.99,NY
10032,40.71,-73.99,NY
10033,40.71,-73.99,NY
10034,40.71,-73.99,NY
714,17.97,-66.06,PR
